,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Single Arm Ring Grip Push Up,Master,Chest,Gymnastic Rings,Prone,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Rolling Squat Burpee,Advanced,Chest,Bodyweight,Standing,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Ring Grip Push Up,Expert,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Low Row,Beginner,Back,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Mid Row,Beginner,Back,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Face Pull,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Seated V Grip Low Row,Beginner,Back,Cable,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine V Grip Row,Novice,Back,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Landmine Row,Novice,Back,Landmine,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bent Over Row,Novice,Back,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Gorilla Row,Novice,Back,Kettlebell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Superband Assisted Wide Grip Pull Up,Novice,Back,Superband,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Resistance Band Half Kneeling Face Pull,Novice,Shoulders,Resistance Band,Half Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Intermediate,Back,Dumbbell,Single Leg Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Prone Cobra,Novice,Back,Stability Ball,Prone,Double Arm,Continuous,No Grip,Single Exercise,Isolation
,Prone Cobra,Beginner,Back,Bodyweight,Prone,Double Arm,Continuous,No Grip,Single Exercise,Isolation
,Dumbbell Pendlay Row,Novice,Back,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Single Leg Row,Intermediate,Back,Dumbbell,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Straight Bar Pullover,Novice,Back,Cable,Standing,Double Arm,Continuous,Pronated,Single Exercise,Isolation
,Single Arm Dumbbell Bird Dog Row,Intermediate,Back,Dumbbell,Quadruped,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Cable,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Cable Half Kneeling Low Row,Novice,Back,Cable,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Row,Novice,Back,Suspension Trainer,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Suitcase Deadlift,Novice,Back,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Deadlift,Novice,Back,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Archer Pull Up,Advanced,Back,Gymnastic Rings,Hanging,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Dumbbell Renegade Row ,Intermediate,Back,Dumbbell,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Barbell Conventional Deadlift,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Sumo Deadlift,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Rack Pull,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Snatch Grip Deadlift,Intermediate,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Pendlay Row,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Hyperextension,Novice,Back,Stability Ball,Prone,Double Arm,Continuous,Head Supported,Single Exercise,Isolation
,Barbell Seated Good Morning ,Intermediate,Back,Barbell,Seated,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Good Morning,Intermediate,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Wall Sit ,Beginner,Quadriceps,Bodyweight,Wall Sit,No Arms,Continuous,No Grip,Single Exercise,Compound
,Wall Slide Squat,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Wall Slide Squat,Beginner,Quadriceps,Stability Ball,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Suspension Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Alternating Reverse Lunge,Beginner,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bodyweight Squat to Bench,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Bodyweight Squat,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Assisted Bodyweight Split Squat,Beginner,Quadriceps,Bodyweight,Split Stance Standing,Single Arm,Continuous,Hand Assisted,Single Exercise,Compound
,Bodyweight Walking Lunge,Beginner,Quadriceps,Bodyweight,Walking,No Arms,Continuous,No Grip,Single Exercise,Compound
,Dumbbell Goblet Squat ,Beginner,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Miniband Romanian Deadlift,Beginner,Hamstrings,Miniband,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Superband Resisted Skater Jump,Novice,Abductors,Superband,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Cable Prone Single Leg Hamstring Curl,Novice,Hamstrings,Cable,Prone,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Candlestick Roll Up Tuck Jump,Intermediate,Glutes,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Barbell Bench Press,Novice,Chest,Barbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Bicep Curl,Novice,Biceps,Barbell,Standing,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Barbell Block Pull Deadlift,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Box Pause Back Squat,Novice,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Deficit Deadlift,Intermediate,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Glute Bridge,Novice,Glutes,Barbell,Bridge,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Halting Deadlift,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell High Bar Back Squat,Novice,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Low Bar Back Squat,Intermediate,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Press,Novice,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Power Clean,Expert,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Power Snatch,Expert,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Push Press,Novice,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Romanian Deadlift,Novice,Hamstrings,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Row,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Back Rack Split Squat,Novice,Quadriceps,Barbell,Split Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Stiff Legged Deadlift,Novice,Hamstrings,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Sumo Squat,Novice,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Bodyweight Pistol Squat,Expert,Glutes,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Bodyweight Skater Squat,Intermediate,Glutes,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Cable Pull Through,Beginner,Glutes,Cable,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Bulgarian Split Squat,Novice,Quadriceps,Dumbbell,Single Leg Supported,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Contralateral Overhead Step Up,Intermediate,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Deficit Split Squat,Novice,Quadriceps,Dumbbell,Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Seated Reverse Fly,Beginner,Shoulders,Dumbbell,Seated,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Suitcase Split Squat,Novice,Quadriceps,Dumbbell,Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Box Step Up,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Face the Wall Squat,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Feet Elevated Glute Bridge,Novice,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Arm Kettlebell Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Kettlebell Alternating Halo,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Single Arm Kettlebell Overhead Press,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Snatch,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Turkish Get Up,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Miniband Monster Walk,Beginner,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Single Exercise,Compound
,Quadruped Hip Extension,Beginner,Glutes,Bodyweight,Quadruped,Double Arm,Continuous,Flat Palm,Single Exercise,Isolation
,Suspension Pistol Squat,Intermediate,Quadriceps,Suspension Trainer,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Skater Squat,Novice,Quadriceps,Suspension Trainer,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Tuck Jump,Novice,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Alternating Single Leg Wall Sit,Novice,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Leg Romanian Deadlift Jump,Intermediate,Hamstrings,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Double Dumbbell Overhead Walking Lunge,Intermediate,Quadriceps,Dumbbell,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Overhead Walking Lunge,Beginner,Quadriceps,Stability Ball,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Stability Ball,Single Leg Supported,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bodyweight Leg Extension,Novice,Quadriceps,Bodyweight,Tall Kneeling,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Lateral Bench Jump,Novice,Glutes,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Arm Dumbbell Front Rack Squat,Novice,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Skater Jump,Novice,Abductors,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Slider Single Arm Dumbbell Front Rack Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Prone Hamstring Curl,Novice,Hamstrings,Cable,Prone,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Bulgarian Split Squat Jumps,Intermediate,Quadriceps,Bodyweight,Single Leg Supported,No Arms,Continuous,No Grip,Single Exercise,Compound
,Cable Standing Single Leg Hamstring Curl,Novice,Hamstrings,Cable,Single Leg Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Nordic Hamstring Curl,Advanced,Hamstrings,Bodyweight,Tall Kneeling,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Superband Assisted Pistol Squat,Intermediate,Quadriceps,Superband,Single Leg Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Kettlebell Goblet Squat,Beginner,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Dumbbell Front Squat,Beginner,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Suitcase Walking Lunge,Novice,Quadriceps,Dumbbell,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Back Rack Walking Lunge,Intermediate,Quadriceps,Barbell,Walking,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Box Pistol Squat,Novice,Quadriceps,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Barbell Overhead Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Overhead Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Goblet Squat,Novice,Quadriceps,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Hamstring Curl,Novice,Hamstrings,Stability Ball,Supine,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Slider Hamstring Curl,Novice,Hamstrings,Sliders,Supine,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Hamstring Walkout ,Novice,Hamstrings,Bodyweight,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Slider Dumbbell Goblet Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Dragon Pistol Squat,Expert,Quadriceps,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Arm Dumbbell Front Rack Cossack Squat to Overhead Press,Intermediate,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Stability Ball Single Leg Hamstring Curl,Intermediate,Hamstrings,Stability Ball,Supine,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Barbell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Barbell,Single Leg Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Suitcase Lateral Lunge,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Frankenstein Walking Lunge,Expert,Quadriceps,Barbell,Walking,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Barbell Overhead Walking Lunge,Expert,Quadriceps,Barbell,Walking,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Lateral Lunge,Expert,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Squat Clean,Expert,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Clean and Jerk,Expert,Shoulders,Landmine,Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Landmine Hack Squat,Intermediate,Quadriceps,Landmine,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Landmine,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Landmine,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Landmine Half Kneeling Shoulder Press,Intermediate,Shoulders,Landmine,Half Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Landmine,Tall Kneeling,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Landmine Meadows Row,Novice,Back,Landmine,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Landmine Z Press,Intermediate,Shoulders,Landmine,Seated Floor,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Z Press,Intermediate,Shoulders,Barbell,Seated Floor,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Half Kneeling Oblique Twist ,Intermediate,Abdominals,Landmine,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Seated Bicep Curl,Novice,Biceps,Cable,Seated,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Single Arm Dumbbell Seated Concentration Curl,Beginner,Biceps,Dumbbell,Seated,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Dumbbell Incline Bench Alternating Bicep Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Alternating,Supinated,Single Exercise,Isolation
,Single Arm Suspension Bicep Curl,Intermediate,Biceps,Suspension Trainer,Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Stability Ball Single Arm Plank,Expert,Abdominals,Stability Ball,Prone,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Stability Ball Feet Elevated Single Arm Plank,Expert,Abdominals,Stability Ball,Prone,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Landmine Zercher Skater Squat,Intermediate,Quadriceps,Landmine,Standing,Double Arm,Continuous,Other,Single Exercise,Compound
,Landmine Reverse Lunge to Single Arm Shoulder Press,Intermediate,Shoulders,Landmine,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Landmine Thruster,Novice,Shoulders,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Romanian Deadlift,Novice,Hamstrings,Landmine,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Landmine Single Leg Romanian Deadlift,Intermediate,Hamstrings,Landmine,Single Leg Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Tall Kneeling Oblique Twist,Intermediate,Abdominals,Landmine,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
